Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Directores de servicios sociales para personas mayores,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Gerocul@r,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Pintor-a de camiones oficial 3ª(ref.: 2280),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Ayudante de cocina (ref.: 2290),Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal de limpieza o limpiadores en general,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Inspector médico en arrasate. sust. it. pl3 superacion prueba,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Administrativa-o atencion al cliente,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Audioprotesista (ref.2289),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Formador-a de formación no reglada,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Herrero-a forjador. oficial de 1ª.,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Camareros de barra y terraza,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Profesores técnicos de formación profesional (fabricación mecánica),A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Oferta de técnico administrativo en soria,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Conductores de camión, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico de calidad,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Camarero-a,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Limpiador-a con discapacidad en murcia,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Dependientes de recambios y accesorios,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Carretillero-a (ref.: 2295),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Agentes comerciales,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Mecánicos reparadores de maquinaria agrícola, en general",Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Work-location,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Conductores de camión, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Terapeutas ocupacionales,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Inspector médico en barakaldo. vacante. pl3 y superación de prueba,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Psicólogo-a,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Profesor de frances,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Mozo de almacén (ref. 2291),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Albañiles (oficial de 1ª o 2ª),Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
2 peones forestales (ref.: 1446),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Calderero,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Albañiles (peón),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Operario-a industria alimentación,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductor-a de camión,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Oferta camarero-a para restaurante torrejón de ardoz.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Tornero,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Jefe de obra (aquitecto-a técnico) en villalobón (palencia),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliares de enfermería,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Podadores y-o motoserristas forestales,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Enfermeros de cuidados generales,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Limpiador-a centro sanitario lalin,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Operario-a de envasado en fábrica (molina de segura),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Limpieza y mantenimiento de marquesinas,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Peones agricolas (poda viñedos y plantación almendros),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Dependiente-a de panadería <b>en oviedo<-b> (ref. 2244),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Analista programador cobol - cirbe, madrid",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Electronic workplace l2 client support, madrid",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ayudante de cocina,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Personal de manteniment per esparreguera,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Mecánicos de maquinaria agricola,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Desarrollador de aplicaciones, 100% en remoto",A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Camunda bpm business analyst, noord-holland",Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Functional data analyst, madrid",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Lead appian developer, hessen",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Platform engineer dbm, groningen",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Desarrollador .net (remoto - seguros), 100% en remoto",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Técnico de marketing y comunicación, barcelona",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Montador electromecánico en tres cantos,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Senior software engineer, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Junior aml analyst, repubblika ta' malta",Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Ingeniero automatismos, sevilla",Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Senior sas statistical programmer, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Instalador de equipos de climatización y refrigeración,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Volte-r4 testing resources, rheinland-pfalz",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Cpq consultants, noord-holland",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Integration software engineer, gotlands län",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Técnico-a de mantenimieto,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
"Developer windfall fx, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Technical support analyst, málaga",Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Senior ctera engineer-l3, noord-brabant",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Deloitte tech camp training for data, madrid - primer empleo",Madrid - España,03/04/2025,Sin especificar,En prácticas Enseñanzas de grado superior de…,,NA,NA,NA,SI,Madrid
"Programador-a plc, zaragoza",Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Ingeniero de diseño, gipuzkoa",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Electricista de mantenimiento y reparación,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Asesor-a fiscal y contable,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
"Maestros de educación primaria, en general",Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Estudios primarios completos,,NA,NA,NA,SI,NA
"Cocineros, en general",Avila - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductores-operadores de grúa torre,Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Fontanero-climatizador,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Arquitectos técnicos,Granada - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Personal de limpieza,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Formador-docente de certificado de profesionalidad imar0109(instalaciones de climatizacion,…",Madrid - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Madrid
Oficial 3º rotulista.,Madrid - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Madrid
"Fisioterapeutas, en general",Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar administrativo,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
"Conductores de camión, en general",Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Dependiente-a alimentación (ref. 1783),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Ebanista,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Formador-a jardinería en alcalá de henares,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Farmacéutico-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Agentes de desarrollo social,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Cataluña
Almacenero,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Enfermeros de cuidados generales,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico-a administrativo,Albacete - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
Docente dinamización de actividades de ocio y tiempo libre,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Conductores de furgoneta.,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Camarero de barra - restaurante,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Mecánic@ ciclomotores y motocicletas,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Chapista de vehículos,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Contable para gestoria de tamarite,Huesca - Aragon - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Peón-a de la construcción (ref. 2256).,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Auxiliar de enfermería (ref.: 2258),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Operario-a de produccion,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Mecánico-a de mantenimiento,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Camarero-a de pisos hotel 5*(ref. 2260),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Auxiliar centro de día,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Operadores de máquinas envasadoras de aceites y grasas comestibles,Jaen - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
1 camarero-a - campanario,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Comercial-dependiente recambios maquinaria agrícola,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
Psicòleg-oga,Lleida - Cataluña - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Jardinero-a,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Instal.lador-a de vidres de cotxes,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Cataluña
"Docente especialidad formativa fcoo03 inserción laboral,sensibilización medioambiental y en la…",Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
Conductor de trailer c+e,Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Cuiner-a,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Pintores y-o empapeladores,Huelva - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Podadores y-o motoserristas forestales,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Auxiliar de enfermería,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Auxiliar de producción de papel y cartón,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Vigilantes de seguridad,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Comercial - atención al cliente,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Mecánica -o,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Farmaceútico-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Formadores de formación para el empleo,Zamora - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Médicos, medicina general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Electricistas de mantenimiento y reparación, en general",Cordoba - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductor-a de camión rígido,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Limpiador-a con carné de conducir,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
"Conserjes, en general",Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico-a de recursos humanos con certificado de discapacidad (ref. 04 2025 001878),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Baleares
Camarero-a.,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
"Cocineros, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Profesor-a de inglés (ref.: 2274),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Técnico-a de especialidad en área jurídica (jurídico-laboral),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Profesionales de la educación ambiental,Huelva - Andalucia - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
1 ayudante de camarero-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Conservadores de museo y galerías de arte,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Peón albañil,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Calderero-a (ref.: 2270),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Lacador-a de madera,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Electricistas. oficiales de primera,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Empleados administrativos de contabilidad, en general",A Coruña - Galicia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Galicia
Expendedores de combustible,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Personal de limpieza o limpiadores en general,Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Oferta limpiador-mantenedor-a de piscinas para torrejón de ardoz,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Albañiles,Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Profesor de apoyo socioeducativo,Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Primeros oficiales de puente de buques mercantes,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Canarias
Aux. administrativo-a de transporte,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Técnico-a instaladador-a y de mantenimiento de sistemas de seguridad.,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Planchistas (cafetería o restauración),A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Operadores de equipos en estación de emisora de radio y-o televisión,Malaga - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,NA
1 ayudante de camarero-a,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Instaladores electricistas industriales,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
