Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA,Fecha_parsed,Mes,Nivel
Montador de carpinteria de aluminio (todas las categorías),Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Otros
Personal de mantenimiento (ref. 2230),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Repartidor-a de panadería (ref.: 2231),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Electricista de mantenimiento y reparación industrial,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Básico
Peón-a agrícola (ref. 1843),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-02,abril,Otros
Tecnico-a prevención de riesgos laborales,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Asistentes domiciliarios,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
"Jardineros, en general",Jaen - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Coordinador-a centro cultural (ref.: 2237),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Personal de limpieza o limpiadores en general,Almeria - Andalucia - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Básico
"Electricistas de mantenimiento y reparación, en general",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Médicos especialistas en pediatría y sus áreas específicas,Granada - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Gerocultor-a (ref. 2236),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
La empresa aralia servicios sociosanitarios necesita cubrir un puesto de auxiliar de ayuda a…,Zamora - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
Técnico-a de mantenimiento,Cuenca - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-02,abril,Otros
Proyectista nivel frances alto,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Pastores ovino (cid),Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
Ayudante de cocina,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Dependiente-a y ayudante-a de almacén,Alava - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Higienista bucodental (ref. 2235),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Camareros de barra y-o dependientes de cafetería,Las Palmas - Canarias - España,02/04/2025,1.400 - 1.500,Otros tipos de formación,1400-1500,1400,1500,17,SI,Canarias,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Diseñador gráfico,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-02,abril,Otros
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Operadores torneros-fresadores (fabricación),A Coruña - Galicia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Galicia,2025-04-02,abril,FP/Bachiller
Ayudante de cocina (ref.1846),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-02,abril,Otros
Enfermeros de cuidados generales,Almeria - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Marmitones,Huelva - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Profesor-a de inglés (ref. 2228),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Contables,Teruel - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Aragon,2025-04-02,abril,FP/Bachiller
Soldador-a de estructuras metálicas.,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Básico
Médicos especialistas en cirugía ortopédica y traumatología,Jaen - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Dependiente-a de tienda de pinturas(ref.2224).,Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Delineante industrial (ref 2227),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Auxiliar administrativo-a con certificado de discapacidad igual o superior al 33% (ref.1841),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-02,abril,Otros
Dependiente-a de panadería (ref.: 2226),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Agentes comerciales,Sevilla - Andalucia - España,02/04/2025,Sin especificar,Certificado de profesionalidad nivel 3…,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,NA
Auxiliar administrativo-a,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Universidad
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Tractoriasta para finca agricola,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
"Cocineros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Médicos especialistas en geriatría,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Técnico-a de mantenimiento preventivo industrial (ref.:2225),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Reponedor-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Mecánico-a industrial,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-02,abril,Otros
Oficial mantenimiento de edificios (mantenimiento preventivo y correctivo) climatización o…,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
Fontaneros,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
"Cocineros, en general",Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Vigilantes de seguridad,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
Agentes comerciales,Granada - Andalucia - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Básico
Bañeros (balnearios-saunas-baños turcos),Cadiz - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Electricista (ref.:2223),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
1 camarero-a de piso.,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-02,abril,Otros
Auxiiliar de almacen,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
"Camareros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Albiñil oficial 1º y ofiial2º,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Otros
Agentes comerciales,Cadiz - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Universidad
Work-location,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
Operario-a de mantenimiento,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
Cocinero-a de comida peruana y pastelería internacional -oferta cid-,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Fontaneros o calefactores oficiales,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
Carpintero-a (ref. 2222),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Oferta empleo 2402-frigorista,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Básico
Experto docente curso de actividades aux. de cocina,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-02,abril,Otros
Administrativo-a (ref. 042025001838),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-02,abril,Otros
Ferralista,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
Fisioterapeuta,Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-02,abril,Otros
Operario-a reparacion y reposicion pavimentos-obra civil,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-02,abril,Otros
2 pintores-as restauradores-as trabajos verticales (ref: 2221),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Auxiliar-higienista dental,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Auxiliares de enfermería de geriatría,Malaga - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-02,abril,FP/Bachiller
"Conductores de furgoneta, hasta 3,5 t.",Huelva - Andalucia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,FP/Bachiller
Jefe-a y encargado-a de obra,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
"Camareros, en general",Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Encofradores lleida,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Limpiador-a,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
"Conductores de furgoneta, hasta 3,5 t.",Almeria - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-02,abril,FP/Bachiller
Conductor-a camión (ref. 042025001839),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-02,abril,Otros
1 cocinero-a,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria,2025-04-02,abril,Otros
Formadores de formadores,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
Conductores de camión con remolque y-o de tractocamión,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
Dependiente-a tienda de pinturas en don benito,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-02,abril,Otros
1 recepcionista-camarero (ref 2218),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
"Encargados o capataces agrícolas de huertas, invernaderos, viveros o jardines, en general",Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Universidad
Farmaceútico-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Universidad
2 puestos de personal de limpieza con discapacidad (ref 2219),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
"Técnicos administrativos, en general",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Personal técnico de empresa,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Enfermeros de cuidados generales,Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Gerocultor-a (ref. 2220),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
"Cocineros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
"Embaladores-empaquetadores-etiquetadores, a mano",Almeria - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Impermeabilizador. categoría profesional oficial-ayudante.titulación: estudios primarios completos.…,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Otros
Rebobinador-a de motores electricos,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,FP/Bachiller
Auxiliares de enfermería,Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
"Instaladores electricistas, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Conductor de autobús para tranporte escolar en segovia,Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-02,abril,Otros
Profesores del área de matemáticas (enseñanza secundaria),Jaen - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Universidad
Enfermeros de cuidados generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Responsable de departamento laboral,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Formad@ formación no reglada para pueblo nuevo del guadiana .,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-02,abril,Otros
Fontanero-a redes y domicilios,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Mozos de habitación o valets,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Otros
Personal administrativo en almacén trubia,Asturias - España,02/04/2025,21.000 - 23.999,Sin estudios,21000-23999,21000,23999,22,SI,Asturias,2025-04-02,abril,Sin estudios
Técnico-a servicios agrarios (sector público),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Mecánico del automovil,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
"Mecánicos-ajustadores de motores en maquinaria pesada, agrícola y-o industrial autopropulsada",Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Otros
"Empleados administrativos, en general",Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-02,abril,FP/Bachiller
Personal limpieza coruña - arteixo distintas ubicaciones,A Coruña - Galicia - España,02/04/2025,6.000 Primera etapa de educación secundaria…,NA,6000,6000,NA,72,SI,Galicia,2025-04-02,abril,NA
Agentes de seguros,Cadiz - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-02,abril,FP/Bachiller
Ayudante montador de rótulos,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Básico
Camareros,Teruel - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
Agentes comerciales.,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-02,abril,Otros
Coordinador-a de programa experiencial,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
"Auxiliares de enfermería hospitalaria, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Camarero,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Electrónicos de mantenimiento y reparación de edificios y equipamientos urbanos,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Otros
Operarios mantenimiento bizi zaragoza,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Aragon,2025-04-02,abril,FP/Bachiller
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Enfermera-o,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Doctorado
Oficial-a 1ª polivalente mantenimiento,Madrid - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Madrid,2025-04-02,abril,FP/Bachiller
Conducción de camión y grua fija,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-02,abril,Otros
Comercial maquinaria agrícola,Zaragoza - Aragon - España,02/04/2025,22.000 - 22.001,Otros tipos de formación,22000-22001,22000,22001,22,SI,Aragon,2025-04-02,abril,Otros
"Emplead@ administrativ@ comercial inmobiliario con carnet b,coche propio, informática avanzada y…",Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-02,abril,Otros
Monitor taller de empleo de limpieza en edificios y locales,Lugo - Galicia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Galicia,2025-04-02,abril,FP/Bachiller
Técnico-a mantenimiento de maquinaria (ref.2254),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-02,abril,Otros
Mecánicos de autobuses,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-02,abril,Otros
"Fisioterapeutas, en general",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
Formadores de formación para el empleo,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Otros
Encargado-a de obra,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Trabajador-a incineradora de animales.,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-02,abril,Otros
Encofradores. oficial de primera,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-02,abril,Otros
Soldador-a carpinteria metalica,Alava - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Dependientes de floristería,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Básico
Dependientes de carnicería y-o charcutería,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Canarias,2025-04-02,abril,Básico
"Lavacoches, a mano",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Auxiliar administrativo-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-02,abril,Otros
Limpiador-a industrial,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-02,abril,Otros
Electromecanico-a de mantenimiento (el burgo de ebro),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Aragon,2025-04-02,abril,FP/Bachiller
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Podadores y-o motoserristas forestales,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-02,abril,Otros
Psicólogos sanitarios generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-02,abril,Otros
